epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2178.4,1.58508,2.0527,2.07958,0.94503,0.70796,0.80502,0.52426,1.6447,2.02086,1.81858,2.3874e-05,2.3874e-05,2.3874e-05
42,2229.75,1.56783,2.02863,2.05522,0.92548,0.71704,0.80186,0.52528,1.62684,2.01316,1.81117,1.94602e-05,1.94602e-05,1.94602e-05
43,2280.36,1.57076,2.06222,2.07995,0.92447,0.71369,0.80198,0.52303,1.652,1.98573,1.81586,1.54628e-05,1.54628e-05,1.54628e-05
44,2328,1.61023,2.04306,2.07386,0.91904,0.71898,0.80198,0.52676,1.62963,1.97369,1.8024,1.18978e-05,1.18978e-05,1.18978e-05
45,2381.51,1.58333,1.99964,2.05393,0.92604,0.72206,0.80323,0.52945,1.63015,1.97897,1.80517,8.77915e-06,8.77915e-06,8.77915e-06
46,2433.52,1.56096,2.01396,2.05938,0.92648,0.72044,0.80078,0.52726,1.6287,1.97025,1.81193,6.11915e-06,6.11915e-06,6.11915e-06
47,2482.98,1.54784,1.97747,2.03881,0.93167,0.72057,0.80188,0.52955,1.61574,1.95994,1.80526,3.92834e-06,3.92834e-06,3.92834e-06
48,2542.22,1.54683,1.98757,2.06614,0.9283,0.72198,0.80325,0.52604,1.62999,1.96465,1.80826,2.21533e-06,2.21533e-06,2.21533e-06
49,2609.72,1.55449,1.99204,2.06571,0.93325,0.71562,0.80184,0.52967,1.59925,1.96028,1.7983,9.86907e-07,9.86907e-07,9.86907e-07
50,2668.95,1.55348,1.99751,2.03861,0.91707,0.7228,0.80137,0.53024,1.60973,1.9531,1.7997,2.47908e-07,2.47908e-07,2.47908e-07
1,84.3865,3.30217,14.1502,4.1159,0.39147,0.31778,0.32984,0.1531,3.01151,8.21418,3.33194,0.0933617,1.33032e-05,1.33032e-05
1,113.583,3.352,14.3859,4.32736,0.5351,0.28455,0.26912,0.12116,3.08211,9.72033,3.70048,0.0950188,7.48307e-06,7.48307e-06
2,216.302,3.14971,10.6015,4.13998,0.45858,0.35765,0.36495,0.15926,3.15196,8.41253,3.89064,0.0900263,1.49794e-05,1.49794e-05
3,316.118,3.08997,10.0113,4.00696,0.57262,0.46826,0.47698,0.23938,2.89227,7.20588,3.30421,0.0850337,2.24609e-05,2.24609e-05
4,404.892,3.05226,9.25871,3.91888,0.62587,0.46396,0.49651,0.20034,3.38013,7.54824,3.64184,0.0800412,2.99165e-05,2.99165e-05
5,496.431,3.00435,8.94361,3.84715,0.67211,0.51875,0.55436,0.2576,3.16475,6.59344,3.51255,0.0750486,3.73353e-05,3.73353e-05
6,576.447,2.9306,8.43661,3.78345,0.71537,0.53577,0.59599,0.26881,3.09204,6.22837,3.36682,0.070056,4.47062e-05,4.47062e-05
7,690.152,2.92555,8.33988,3.73723,0.7321,0.57624,0.63211,0.29895,2.96161,6.04603,3.23862,0.0650633,5.20183e-05,5.20183e-05
8,807.177,2.87202,7.93195,3.6459,0.79984,0.56277,0.63921,0.3177,2.97963,5.68003,3.13707,0.0600705,5.92608e-05,5.92608e-05
9,922.738,2.84453,7.87674,3.6127,0.81615,0.59958,0.6846,0.3515,2.81721,5.35794,3.07013,0.0550777,6.6423e-05,6.6423e-05
10,1038.02,2.81504,7.62392,3.5673,0.80568,0.62031,0.69371,0.34447,2.90424,5.05192,3.12746,0.0500848,7.34944e-05,7.34944e-05
11,1143.9,2.77551,7.46177,3.53542,0.79327,0.61884,0.70487,0.38069,2.66703,5.12235,2.97217,0.0450918,8.04646e-05,8.04646e-05
12,1268.35,2.764,7.42564,3.51102,0.82467,0.60934,0.70576,0.35751,2.8477,4.94356,3.02188,0.0400986,8.73232e-05,8.73232e-05
13,1387.52,2.76627,7.21026,3.52596,0.71246,0.62457,0.69564,0.34766,2.91566,5.18214,3.17082,0.0351053,9.40603e-05,9.40603e-05
14,1505.5,2.72549,7.18724,3.46751,0.85611,0.63774,0.72149,0.36855,2.86015,4.85378,3.09723,0.030112,0.000100666,0.000100666
15,1607.65,2.69117,7.04614,3.41386,0.82362,0.65006,0.72077,0.36692,2.90823,4.84627,3.10243,0.0251184,0.00010713,0.00010713
16,1715.72,2.70352,6.87939,3.41432,0.83624,0.6691,0.74455,0.41607,2.54424,4.38063,2.87014,0.0201247,0.000113444,0.000113444
17,1810.62,2.70083,6.92709,3.40392,0.89906,0.65631,0.74794,0.41189,2.71146,4.48468,3.0008,0.0151309,0.000119599,0.000119599
18,1887.38,2.67108,6.81763,3.37333,0.86008,0.67897,0.75542,0.40562,2.657,4.41446,2.82901,0.0101369,0.000125584,0.000125584
19,1984.63,2.66161,6.76061,3.37186,0.88684,0.6741,0.76659,0.41881,2.71173,4.27815,2.9396,0.00514268,0.000131393,0.000131393
20,2109.55,2.66627,6.77784,3.3377,0.87606,0.65756,0.74732,0.38536,2.83894,4.5946,2.98171,0.000148302,0.000137016,0.000137016
21,2221.5,2.62913,6.5857,3.3359,0.88123,0.68261,0.76312,0.42179,2.64072,4.23124,2.89558,0.000135676,0.000135676,0.000135676
22,2300.34,2.63874,6.58148,3.37653,0.86372,0.67676,0.7652,0.41671,2.61209,4.28001,2.92203,0.000134262,0.000134262,0.000134262
23,2383.16,2.61691,6.53058,3.28903,0.90958,0.67696,0.77972,0.42706,2.61471,4.1658,2.90125,0.000132789,0.000132789,0.000132789
24,2465.69,2.61501,6.47524,3.3162,0.84571,0.68776,0.76886,0.39614,2.83902,4.311,2.99942,0.000131258,0.000131258,0.000131258
25,2549.53,2.62557,6.43631,3.30892,0.9094,0.68374,0.78011,0.39652,2.86654,4.20397,3.02386,0.000129673,0.000129673,0.000129673
26,2632.31,2.59834,6.25474,3.27404,0.86567,0.70312,0.77894,0.41854,2.67955,4.27477,2.90777,0.000128033,0.000128033,0.000128033
27,2711.3,2.58158,6.33386,3.2893,0.89264,0.67972,0.7785,0.42462,2.61187,3.99529,2.86087,0.000126341,0.000126341,0.000126341
28,2828.38,2.57629,6.2918,3.27837,0.88699,0.69347,0.79055,0.42918,2.72297,3.94894,2.9285,0.000124599,0.000124599,0.000124599
29,2946.51,2.54202,6.11745,3.25279,0.92056,0.67678,0.7771,0.42282,2.6529,4.01108,2.87997,0.000122807,0.000122807,0.000122807
30,3053.56,2.55229,6.12521,3.22506,0.87516,0.71737,0.78375,0.41988,2.72348,3.99895,2.88619,0.000120968,0.000120968,0.000120968
31,3147.57,2.53177,5.92901,3.21872,0.90957,0.6918,0.78606,0.42003,2.70825,4.04381,2.86906,0.000119084,0.000119084,0.000119084
32,3226.97,2.53971,6.02155,3.20199,0.90487,0.70033,0.80082,0.45252,2.51195,3.77735,2.75653,0.000117156,0.000117156,0.000117156
33,3310.18,2.51951,5.85731,3.16794,0.889,0.72065,0.79451,0.45024,2.51947,3.73311,2.77397,0.000115187,0.000115187,0.000115187
34,3443.11,2.51157,5.96499,3.19346,0.86483,0.71317,0.79625,0.44356,2.58961,3.7955,2.78954,0.000113178,0.000113178,0.000113178
35,3519.72,2.51433,5.92548,3.19207,0.90181,0.7139,0.80248,0.43678,2.64787,3.82702,2.83493,0.000111132,0.000111132,0.000111132
36,3593.23,2.47322,5.9065,3.14133,0.9259,0.70392,0.80253,0.4727,2.42694,3.61301,2.69632,0.000109049,0.000109049,0.000109049
37,3669.54,2.49711,5.84896,3.15957,0.88892,0.73785,0.81043,0.49363,2.30582,3.49179,2.62234,0.000106934,0.000106934,0.000106934
38,3744.87,2.51392,5.84617,3.17052,0.8758,0.72546,0.80162,0.44519,2.60231,3.73092,2.79994,0.000104786,0.000104786,0.000104786
39,3828.95,2.51434,5.85682,3.16028,0.9095,0.69584,0.79661,0.44319,2.59792,3.75705,2.72492,0.00010261,0.00010261,0.00010261
40,3905.28,2.46785,5.66029,3.11032,0.90588,0.709,0.80688,0.46668,2.46737,3.57564,2.68564,0.000100406,0.000100406,0.000100406
41,3981.31,2.46079,5.71548,3.11922,0.93006,0.68379,0.79929,0.45136,2.54389,3.74058,2.75537,9.81765e-05,9.81765e-05,9.81765e-05
42,4067.46,2.48311,5.74447,3.11965,0.91565,0.73059,0.81536,0.49453,2.28855,3.43471,2.58311,9.59246e-05,9.59246e-05,9.59246e-05
43,4147.64,2.46017,5.63363,3.10961,0.92379,0.72045,0.80895,0.48234,2.38248,3.47966,2.67607,9.3652e-05,9.3652e-05,9.3652e-05
44,4227.53,2.46354,5.6378,3.13121,0.91245,0.72189,0.81415,0.46418,2.46209,3.56158,2.69768,9.1361e-05,9.1361e-05,9.1361e-05
45,4306.68,2.44628,5.62738,3.07422,0.91095,0.72046,0.81674,0.48205,2.38441,3.4592,2.6488,8.90539e-05,8.90539e-05,8.90539e-05
46,4382.35,2.41546,5.58479,3.062,0.9056,0.74404,0.81677,0.48367,2.40738,3.41373,2.68953,8.67329e-05,8.67329e-05,8.67329e-05
47,4460.75,2.43042,5.51113,3.07791,0.89845,0.71885,0.81555,0.47329,2.45755,3.47389,2.70413,8.44003e-05,8.44003e-05,8.44003e-05
48,4538,2.41965,5.54414,3.04491,0.91707,0.73429,0.82085,0.50711,2.21536,3.27983,2.55564,8.20585e-05,8.20585e-05,8.20585e-05
49,4614.71,2.43556,5.59389,3.07371,0.92132,0.73005,0.81434,0.49397,2.30098,3.30083,2.62169,7.97096e-05,7.97096e-05,7.97096e-05
